timestamp_s,uam_id,corridor_id,s_m,level_id,lane_id,x_m,y_m,z_m,speed_mps,active
0.0,UAM01,sf_sj_real,0.0,L300,lane_0,553302.8686647224,4181157.264154501,300.0,50.0,True
1.0,UAM01,sf_sj_real,50.0,L300,lane_0,553266.8262553765,4181122.6095050503,300.0,50.0,True
2.0,UAM01,sf_sj_real,100.0,L300,lane_0,553230.7838460305,4181087.9548556,300.0,50.0,True
3.0,UAM01,sf_sj_real,150.0,L300,lane_0,553194.7414366845,4181053.3002061495,300.0,50.0,True
4.0,UAM01,sf_sj_real,200.0,L300,lane_0,553158.6990273385,4181018.6455566986,300.0,50.0,True
5.0,UAM01,sf_sj_real,250.0,L300,lane_0,553121.4743722454,4180985.276581971,300.0,50.0,True
6.0,UAM01,sf_sj_real,300.0,L300,lane_0,553083.9255118085,4180952.260175748,300.0,50.0,True
7.0,UAM01,sf_sj_real,350.0,L300,lane_0,553046.3766513715,4180919.2437695246,300.0,50.0,True
8.0,UAM01,sf_sj_real,400.0,L300,lane_0,553008.8277909346,4180886.2273633014,300.0,50.0,True
9.0,UAM01,sf_sj_real,450.0,L300,lane_0,552971.2789304976,4180853.2109570787,300.0,50.0,True
10.0,UAM01,sf_sj_real,500.0,L300,lane_0,552933.7300700607,4180820.1945508556,300.0,50.0,True
11.0,UAM01,sf_sj_real,550.0,L300,lane_0,552898.9152188513,4180784.6600045618,300.0,50.0,True
12.0,UAM01,sf_sj_real,600.0,L300,lane_0,552869.0915679618,4180744.5283481344,300.0,50.0,True
13.0,UAM01,sf_sj_real,650.0,L300,lane_0,552848.023878609,4180700.0105136987,300.0,50.0,True
14.0,UAM01,sf_sj_real,700.0,L300,lane_0,552833.8800856064,4180652.075098841,300.0,50.0,True
15.0,UAM01,sf_sj_real,750.0,L300,lane_0,552834.9078313329,4180602.0856625694,300.0,50.0,True
16.0,UAM01,sf_sj_real,800.0,L300,lane_0,552843.2765871519,4180553.06217644,300.0,50.0,True
17.0,UAM01,sf_sj_real,850.0,L300,lane_0,552875.6146657905,4180516.1210895376,300.0,50.0,True
18.0,UAM01,sf_sj_real,900.0,L300,lane_0,552911.2702169743,4180481.068533714,300.0,50.0,True
19.0,UAM01,sf_sj_real,950.0,L300,lane_0,552946.9257681582,4180446.01597789,300.0,50.0,True
20.0,UAM01,sf_sj_real,1000.0,L300,lane_0,552982.581319342,4180410.9634220665,300.0,50.0,True
21.0,UAM01,sf_sj_real,1050.0,L300,lane_0,553018.2368705259,4180375.910866243,300.0,50.0,True
22.0,UAM01,sf_sj_real,1100.0,L300,lane_0,553054.7632149183,4180341.8510226766,300.0,50.0,True
23.0,UAM01,sf_sj_real,1150.0,L300,lane_0,553094.1625869883,4180311.066457055,300.0,50.0,True
24.0,UAM01,sf_sj_real,1200.0,L300,lane_0,553133.5619590583,4180280.2818914335,300.0,50.0,True
25.0,UAM01,sf_sj_real,1250.0,L300,lane_0,553172.9613311281,4180249.4973258125,300.0,50.0,True
26.0,UAM01,sf_sj_real,1300.0,L300,lane_0,553212.3607031981,4180218.712760191,300.0,50.0,True
27.0,UAM01,sf_sj_real,1350.0,L300,lane_0,553250.5679923189,4180186.5829195045,300.0,50.0,True
28.0,UAM01,sf_sj_real,1400.0,L300,lane_0,553285.8691160884,4180151.173448164,300.0,50.0,True
29.0,UAM01,sf_sj_real,1450.0,L300,lane_0,553321.1702398579,4180115.7639768235,300.0,50.0,True
30.0,UAM01,sf_sj_real,1500.0,L300,lane_0,553352.5215175566,4180076.9998261775,300.0,50.0,True
31.0,UAM01,sf_sj_real,1550.0,L300,lane_0,553381.7492581705,4180036.4321151427,300.0,50.0,True
32.0,UAM01,sf_sj_real,1600.0,L300,lane_0,553410.9769987843,4179995.8644041074,300.0,50.0,True
33.0,UAM01,sf_sj_real,1650.0,L300,lane_0,553435.8387191041,4179952.6466461015,300.0,50.0,True
34.0,UAM01,sf_sj_real,1700.0,L300,lane_0,553458.337027451,4179907.9943659636,300.0,50.0,True
35.0,UAM01,sf_sj_real,1750.0,L300,lane_0,553473.7217076455,4179860.42681531,300.0,50.0,True
36.0,UAM01,sf_sj_real,1800.0,L300,lane_0,553488.7002693845,4179812.754933915,300.0,50.0,True
37.0,UAM01,sf_sj_real,1850.0,L300,lane_0,553494.874290795,4179763.137612358,300.0,50.0,True
38.0,UAM01,sf_sj_real,1900.0,L300,lane_0,553500.854121838,4179713.49648404,300.0,50.0,True
39.0,UAM01,sf_sj_real,1950.0,L300,lane_0,553506.1337559959,4179663.792456402,300.0,50.0,True
40.0,UAM01,sf_sj_real,2000.0,L300,lane_0,553509.0968834427,4179613.880334871,300.0,50.0,True
41.0,UAM01,sf_sj_real,2050.0,L300,lane_0,553513.2945197666,4179564.076340148,300.0,50.0,True
